Date,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition,Day-of-Week,Day-Ahead-LMP-price
4/2/2021,12:51:00 AM,35 °F,18 °F,50 %,NW,12 mph,0 mph,29.79 in,0.0 in,Fair,6,22.33
4/2/2021,1:51:00 AM,34 °F,16 °F,48 %,NNW,9 mph,0 mph,29.80 in,0.0 in,Fair,6,20.31
4/2/2021,2:51:00 AM,32 °F,16 °F,52 %,NW,13 mph,0 mph,29.81 in,0.0 in,Fair,6,20.02
4/2/2021,3:51:00 AM,31 °F,16 °F,54 %,NW,10 mph,0 mph,29.82 in,0.0 in,Fair,6,20.25
4/2/2021,4:51:00 AM,29 °F,14 °F,54 %,WNW,16 mph,24 mph,29.84 in,0.0 in,Fair,6,20.95
4/2/2021,5:51:00 AM,27 °F,13 °F,56 %,NW,14 mph,22 mph,29.87 in,0.0 in,Mostly Cloudy,6,24.04
4/2/2021,6:51:00 AM,27 °F,13 °F,56 %,NW,14 mph,0 mph,29.90 in,0.0 in,Mostly Cloudy,6,24.71
4/2/2021,7:51:00 AM,27 °F,16 °F,63 %,NW,9 mph,0 mph,29.93 in,0.0 in,Light Snow,6,32.42
4/2/2021,8:51:00 AM,29 °F,10 °F,45 %,NW,12 mph,0 mph,29.94 in,0.0 in,Mostly Cloudy,6,34.83
4/2/2021,9:51:00 AM,29 °F,10 °F,45 %,NNW,12 mph,0 mph,29.95 in,0.0 in,Mostly Cloudy,6,29
4/2/2021,10:51:00 AM,30 °F,10 °F,43 %,NNW,13 mph,0 mph,29.95 in,0.0 in,Cloudy,6,34.37
4/2/2021,11:51:00 AM,31 °F,10 °F,42 %,N,10 mph,0 mph,29.95 in,0.0 in,Cloudy,6,31.66
4/2/2021,12:51:00 PM,33 °F,10 °F,38 %,WNW,10 mph,0 mph,29.95 in,0.0 in,Cloudy,6,28.42
4/2/2021,1:51:00 PM,33 °F,10 °F,38 %,N,13 mph,18 mph,29.94 in,0.0 in,Cloudy,6,26.4
4/2/2021,2:51:00 PM,34 °F,10 °F,37 %,NNW,15 mph,23 mph,29.94 in,0.0 in,Cloudy,6,24.27
4/2/2021,3:51:00 PM,33 °F,12 °F,42 %,WNW,17 mph,0 mph,29.95 in,0.0 in,Cloudy,6,24.65
4/2/2021,4:51:00 PM,33 °F,13 °F,43 %,WNW,12 mph,0 mph,29.96 in,0.0 in,Cloudy,6,28.41
4/2/2021,5:51:00 PM,34 °F,12 °F,40 %,NNW,8 mph,0 mph,29.97 in,0.0 in,Cloudy,6,37.64
4/2/2021,6:51:00 PM,34 °F,12 °F,40 %,NNW,7 mph,0 mph,29.98 in,0.0 in,Cloudy,6,43.39
4/2/2021,7:51:00 PM,34 °F,13 °F,42 %,NNW,3 mph,0 mph,30.00 in,0.0 in,Mostly Cloudy,6,42.24
4/2/2021,8:51:00 PM,33 °F,15 °F,48 %,NW,3 mph,0 mph,30.02 in,0.0 in,Mostly Cloudy,6,40.85
4/2/2021,9:51:00 PM,33 °F,15 °F,48 %,NW,3 mph,0 mph,30.04 in,0.0 in,Cloudy,6,34.14
4/2/2021,10:51:00 PM,33 °F,16 °F,50 %,WNW,5 mph,0 mph,30.05 in,0.0 in,Cloudy,6,28.7
4/2/2021,11:51:00 PM,32 °F,16 °F,52 %,WNW,5 mph,0 mph,30.05 in,0.0 in,Cloudy,6,25.29
4/3/2021,12:51:00 AM,32 °F,16 °F,52 %,WNW,8 mph,0 mph,30.05 in,0.0 in,Cloudy,7,35.07
4/3/2021,1:51:00 AM,31 °F,15 °F,52 %,W,5 mph,0 mph,30.06 in,0.0 in,Mostly Cloudy,7,30.4
4/3/2021,2:51:00 AM,28 °F,12 °F,51 %,WNW,5 mph,0 mph,30.05 in,0.0 in,Fair,7,27.91
4/3/2021,3:51:00 AM,29 °F,10 °F,45 %,NW,7 mph,0 mph,30.05 in,0.0 in,Fair,7,28.66
4/3/2021,4:51:00 AM,29 °F,9 °F,43 %,CALM,0 mph,0 mph,30.07 in,0.0 in,Fair,7,28.75
4/3/2021,5:51:00 AM,26 °F,12 °F,55 %,CALM,0 mph,0 mph,30.08 in,0.0 in,Fair,7,29.28
4/3/2021,6:51:00 AM,25 °F,13 °F,60 %,CALM,0 mph,0 mph,30.11 in,0.0 in,Fair,7,37.64
4/3/2021,7:51:00 AM,33 °F,11 °F,40 %,NW,3 mph,0 mph,30.14 in,0.0 in,Fair,7,45.41
4/3/2021,8:51:00 AM,37 °F,9 °F,31 %,VAR,7 mph,0 mph,30.14 in,0.0 in,Fair,7,41.94
4/3/2021,9:51:00 AM,40 °F,3 °F,21 %,N,10 mph,0 mph,30.12 in,0.0 in,Fair,7,35.83
4/3/2021,10:51:00 AM,41 °F,1 °F,19 %,NNW,15 mph,21 mph,30.11 in,0.0 in,Fair,7,25.96
4/3/2021,11:51:00 AM,44 °F,5 °F,20 %,N,13 mph,18 mph,30.09 in,0.0 in,Fair,7,25.58
4/3/2021,12:51:00 PM,46 °F,4 °F,18 %,NNW,8 mph,0 mph,30.06 in,0.0 in,Fair,7,23.44
4/3/2021,1:51:00 PM,49 °F,4 °F,16 %,NNW,9 mph,0 mph,30.04 in,0.0 in,Fair,7,19.96
4/3/2021,2:51:00 PM,51 °F,5 °F,15 %,NW,12 mph,21 mph,30.02 in,0.0 in,Fair,7,20
4/3/2021,3:51:00 PM,52 °F,4 °F,14 %,NNW,13 mph,20 mph,30.00 in,0.0 in,Fair,7,20.71
4/3/2021,4:51:00 PM,53 °F,6 °F,15 %,NNW,12 mph,0 mph,29.99 in,0.0 in,Fair,7,20.93
4/3/2021,5:51:00 PM,51 °F,5 °F,15 %,,0 mph,0 mph,29.99 in,0.0 in,Partly Cloudy,7,26.52
4/3/2021,6:51:00 PM,49 °F,7 °F,18 %,W,12 mph,0 mph,29.99 in,0.0 in,Fair,7,32.04
4/3/2021,7:51:00 PM,45 °F,9 °F,23 %,NW,5 mph,0 mph,30.00 in,0.0 in,Fair,7,43.18
4/3/2021,8:51:00 PM,44 °F,9 °F,24 %,NW,3 mph,0 mph,30.01 in,0.0 in,Fair,7,42.12
4/3/2021,9:51:00 PM,39 °F,12 °F,33 %,W,5 mph,0 mph,30.01 in,0.0 in,Fair,7,36.18
4/3/2021,10:51:00 PM,35 °F,15 °F,44 %,WNW,5 mph,0 mph,30.01 in,0.0 in,Fair,7,25.73
4/3/2021,11:51:00 PM,36 °F,14 °F,41 %,CALM,0 mph,0 mph,30.01 in,0.0 in,Fair,7,24.64
4/4/2021,12:51:00 AM,34 °F,16 °F,48 %,W,5 mph,0 mph,30.00 in,0.0 in,Partly Cloudy,1,30.31
4/4/2021,1:51:00 AM,31 °F,16 °F,54 %,CALM,0 mph,0 mph,29.99 in,0.0 in,Partly Cloudy,1,26.71
4/4/2021,2:51:00 AM,30 °F,17 °F,59 %,CALM,0 mph,0 mph,29.98 in,0.0 in,Fair,1,25.33
4/4/2021,3:51:00 AM,28 °F,18 °F,66 %,CALM,0 mph,0 mph,29.97 in,0.0 in,Partly Cloudy,1,24.9
4/4/2021,4:51:00 AM,29 °F,18 °F,64 %,CALM,0 mph,0 mph,29.96 in,0.0 in,Partly Cloudy,1,24.4
4/4/2021,5:51:00 AM,27 °F,18 °F,69 %,CALM,0 mph,0 mph,29.95 in,0.0 in,Fair,1,25.95
4/4/2021,6:51:00 AM,28 °F,18 °F,66 %,N,3 mph,0 mph,29.96 in,0.0 in,Fair,1,25.08
4/4/2021,7:51:00 AM,34 °F,21 °F,59 %,NE,5 mph,0 mph,29.95 in,0.0 in,Mostly Cloudy,1,22.52
4/4/2021,8:51:00 AM,37 °F,20 °F,50 %,NNE,6 mph,0 mph,29.93 in,0.0 in,Mostly Cloudy,1,27.31
4/4/2021,9:51:00 AM,42 °F,20 °F,41 %,CALM,0 mph,0 mph,29.92 in,0.0 in,Mostly Cloudy,1,22.2
4/4/2021,10:51:00 AM,47 °F,19 °F,33 %,VAR,3 mph,0 mph,29.90 in,0.0 in,Mostly Cloudy,1,20.79
4/4/2021,11:51:00 AM,51 °F,17 °F,26 %,CALM,0 mph,0 mph,29.88 in,0.0 in,Mostly Cloudy,1,20.08
4/4/2021,12:51:00 PM,56 °F,18 °F,23 %,WNW,7 mph,0 mph,29.84 in,0.0 in,Partly Cloudy,1,19.07
4/4/2021,1:51:00 PM,59 °F,22 °F,24 %,WNW,12 mph,17 mph,29.80 in,0.0 in,Fair,1,18.98
4/4/2021,2:51:00 PM,60 °F,23 °F,24 %,NW,15 mph,23 mph,29.77 in,0.0 in,Fair,1,18.23
4/4/2021,3:51:00 PM,60 °F,25 °F,26 %,NW,10 mph,26 mph,29.74 in,0.0 in,Fair,1,18.89
4/4/2021,4:51:00 PM,60 °F,23 °F,24 %,NW,21 mph,25 mph,29.73 in,0.0 in,Fair / Windy,1,18.97
4/4/2021,5:51:00 PM,57 °F,21 °F,25 %,NNW,18 mph,30 mph,29.74 in,0.0 in,Fair,1,22.45
4/4/2021,6:51:00 PM,55 °F,23 °F,29 %,NNW,12 mph,22 mph,29.75 in,0.0 in,Fair,1,26.09
4/4/2021,7:51:00 PM,52 °F,23 °F,32 %,N,5 mph,0 mph,29.75 in,0.0 in,Fair,1,34.94
4/4/2021,8:51:00 PM,48 °F,24 °F,39 %,NW,5 mph,0 mph,29.76 in,0.0 in,Fair,1,31.21
4/4/2021,9:51:00 PM,49 °F,24 °F,38 %,NNW,8 mph,0 mph,29.78 in,0.0 in,Fair,1,23.69
4/4/2021,10:51:00 PM,47 °F,24 °F,41 %,NW,7 mph,0 mph,29.77 in,0.0 in,Fair,1,20.55
4/4/2021,11:51:00 PM,45 °F,25 °F,46 %,NW,9 mph,0 mph,29.76 in,0.0 in,Fair,1,18.84
4/5/2021,12:51:00 AM,48 °F,26 °F,42 %,NW,13 mph,0 mph,29.74 in,0.0 in,Fair,2,21.32
4/5/2021,1:51:00 AM,48 °F,26 °F,42 %,WNW,16 mph,0 mph,29.72 in,0.0 in,Fair,2,22.33
4/5/2021,2:51:00 AM,46 °F,26 °F,46 %,NW,12 mph,0 mph,29.71 in,0.0 in,Fair,2,19.34
4/5/2021,3:51:00 AM,46 °F,27 °F,47 %,NW,15 mph,0 mph,29.70 in,0.0 in,Fair,2,20.04
4/5/2021,4:51:00 AM,44 °F,27 °F,51 %,WNW,9 mph,0 mph,29.70 in,0.0 in,Fair,2,24.7
4/5/2021,5:51:00 AM,41 °F,27 °F,57 %,NW,9 mph,0 mph,29.71 in,0.0 in,Fair,2,25.08
4/5/2021,6:51:00 AM,45 °F,26 °F,48 %,N,14 mph,21 mph,29.72 in,0.0 in,Partly Cloudy,2,28.36
4/5/2021,7:51:00 AM,48 °F,26 °F,42 %,NNW,14 mph,23 mph,29.73 in,0.0 in,Fair,2,38.54
4/5/2021,8:51:00 AM,50 °F,24 °F,36 %,NNW,23 mph,32 mph,29.72 in,0.0 in,Fair / Windy,2,38.33
4/5/2021,9:51:00 AM,52 °F,25 °F,35 %,NNW,24 mph,32 mph,29.70 in,0.0 in,Fair / Windy,2,26.79
4/5/2021,10:51:00 AM,56 °F,24 °F,29 %,N,21 mph,32 mph,29.69 in,0.0 in,Fair / Windy,2,29.04
4/5/2021,11:51:00 AM,59 °F,23 °F,25 %,N,16 mph,25 mph,29.66 in,0.0 in,Fair,2,28.1
4/5/2021,12:51:00 PM,61 °F,22 °F,22 %,N,17 mph,29 mph,29.65 in,0.0 in,Fair,2,23.23
4/5/2021,1:51:00 PM,63 °F,21 °F,20 %,NW,16 mph,28 mph,29.63 in,0.0 in,Fair,2,21.17
4/5/2021,2:51:00 PM,63 °F,19 °F,18 %,NNW,24 mph,32 mph,29.63 in,0.0 in,Fair / Windy,2,20.27
4/5/2021,3:51:00 PM,64 °F,18 °F,17 %,N,20 mph,29 mph,29.61 in,0.0 in,Fair,2,21.22
4/5/2021,4:51:00 PM,65 °F,16 °F,15 %,NNW,17 mph,35 mph,29.60 in,0.0 in,Fair,2,21.41
4/5/2021,5:51:00 PM,63 °F,14 °F,15 %,N,17 mph,30 mph,29.61 in,0.0 in,Fair,2,28.51
4/5/2021,6:51:00 PM,60 °F,16 °F,18 %,N,12 mph,0 mph,29.63 in,0.0 in,Fair,2,38.51
4/5/2021,7:51:00 PM,57 °F,18 °F,22 %,N,13 mph,0 mph,29.66 in,0.0 in,Fair,2,42.65
4/5/2021,8:51:00 PM,54 °F,19 °F,25 %,N,13 mph,0 mph,29.68 in,0.0 in,Fair,2,43.52
4/5/2021,9:51:00 PM,54 °F,21 °F,28 %,N,15 mph,22 mph,29.70 in,0.0 in,Fair,2,26.17
4/5/2021,10:51:00 PM,52 °F,23 °F,32 %,NNW,8 mph,0 mph,29.71 in,0.0 in,Fair,2,23.14
4/5/2021,11:51:00 PM,47 °F,24 °F,41 %,NW,10 mph,0 mph,29.71 in,0.0 in,Fair,2,24.25
4/6/2021,12:51:00 AM,47 °F,23 °F,39 %,NW,7 mph,0 mph,29.71 in,0.0 in,Fair,3,18.67
4/6/2021,1:51:00 AM,45 °F,24 °F,44 %,WNW,9 mph,0 mph,29.70 in,0.0 in,Fair,3,16.7
4/6/2021,2:51:00 AM,42 °F,23 °F,47 %,WNW,7 mph,0 mph,29.70 in,0.0 in,Fair,3,16.66
4/6/2021,3:51:00 AM,41 °F,23 °F,49 %,NW,9 mph,0 mph,29.69 in,0.0 in,Fair,3,16.76
4/6/2021,4:51:00 AM,44 °F,22 °F,42 %,NW,6 mph,0 mph,29.69 in,0.0 in,Fair,3,16.77
4/6/2021,5:51:00 AM,43 °F,21 °F,42 %,NW,7 mph,0 mph,29.70 in,0.0 in,Fair,3,21.73
4/6/2021,6:51:00 AM,44 °F,21 °F,40 %,NW,9 mph,0 mph,29.72 in,0.0 in,Fair,3,24.1
4/6/2021,7:51:00 AM,48 °F,22 °F,36 %,NNW,9 mph,0 mph,29.74 in,0.0 in,Fair,3,27.44
4/6/2021,8:51:00 AM,51 °F,23 °F,33 %,NNW,10 mph,0 mph,29.75 in,0.0 in,Fair,3,23.15
4/6/2021,9:51:00 AM,53 °F,24 °F,32 %,N,14 mph,21 mph,29.75 in,0.0 in,Fair,3,20.77
4/6/2021,10:51:00 AM,57 °F,25 °F,29 %,NNW,12 mph,0 mph,29.74 in,0.0 in,Fair,3,19.19
4/6/2021,11:51:00 AM,60 °F,27 °F,28 %,VAR,7 mph,0 mph,29.72 in,0.0 in,Fair,3,18.08
4/6/2021,12:51:00 PM,62 °F,29 °F,29 %,NW,13 mph,16 mph,29.69 in,0.0 in,Fair,3,17.52
4/6/2021,1:51:00 PM,64 °F,29 °F,27 %,N,12 mph,0 mph,29.68 in,0.0 in,Fair,3,17.49
4/6/2021,2:51:00 PM,67 °F,29 °F,24 %,WNW,13 mph,0 mph,29.65 in,0.0 in,Partly Cloudy,3,17.26
4/6/2021,3:51:00 PM,67 °F,28 °F,23 %,WNW,8 mph,0 mph,29.65 in,0.0 in,Partly Cloudy,3,17.8
4/6/2021,4:51:00 PM,69 °F,29 °F,22 %,NW,13 mph,21 mph,29.65 in,0.0 in,Partly Cloudy,3,18.63
4/6/2021,5:51:00 PM,66 °F,29 °F,25 %,NW,14 mph,22 mph,29.67 in,0.0 in,Partly Cloudy,3,24.36
4/6/2021,6:51:00 PM,64 °F,30 °F,28 %,NNW,12 mph,22 mph,29.69 in,0.0 in,Fair,3,26.25
4/6/2021,7:51:00 PM,61 °F,29 °F,30 %,NNW,9 mph,0 mph,29.71 in,0.0 in,Fair,3,32.2
4/6/2021,8:51:00 PM,58 °F,29 °F,33 %,NW,6 mph,0 mph,29.74 in,0.0 in,Fair,3,25.48
4/6/2021,9:51:00 PM,57 °F,30 °F,36 %,N,7 mph,0 mph,29.75 in,0.0 in,Partly Cloudy,3,20.91
4/6/2021,10:51:00 PM,54 °F,30 °F,40 %,NNW,5 mph,0 mph,29.77 in,0.0 in,Fair,3,19.56
4/6/2021,11:51:00 PM,50 °F,31 °F,48 %,N,5 mph,0 mph,29.78 in,0.0 in,Fair,3,19.04
4/7/2021,12:51:00 AM,49 °F,31 °F,50 %,NNE,7 mph,0 mph,29.77 in,0.0 in,Fair,4,15.8
4/7/2021,1:51:00 AM,48 °F,31 °F,52 %,CALM,0 mph,0 mph,29.78 in,0.0 in,Fair,4,14.69
4/7/2021,2:51:00 AM,47 °F,32 °F,56 %,N,6 mph,0 mph,29.78 in,0.0 in,Fair,4,15.18
4/7/2021,3:51:00 AM,46 °F,32 °F,58 %,ENE,5 mph,0 mph,29.78 in,0.0 in,Partly Cloudy,4,14.48
4/7/2021,4:51:00 AM,42 °F,31 °F,65 %,CALM,0 mph,0 mph,29.79 in,0.0 in,Partly Cloudy,4,15.21
4/7/2021,5:51:00 AM,42 °F,32 °F,67 %,CALM,0 mph,0 mph,29.79 in,0.0 in,Partly Cloudy,4,17.22
4/7/2021,6:51:00 AM,39 °F,32 °F,76 %,NW,3 mph,0 mph,29.80 in,0.0 in,Mostly Cloudy,4,20.53
4/7/2021,7:51:00 AM,50 °F,34 °F,54 %,NW,5 mph,0 mph,29.83 in,0.0 in,Mostly Cloudy,4,27.66
4/7/2021,8:51:00 AM,53 °F,37 °F,55 %,N,14 mph,0 mph,29.82 in,0.0 in,Mostly Cloudy,4,23.93
4/7/2021,9:51:00 AM,56 °F,39 °F,53 %,N,15 mph,18 mph,29.82 in,0.0 in,Mostly Cloudy,4,19.39
4/7/2021,10:51:00 AM,58 °F,39 °F,49 %,N,14 mph,0 mph,29.81 in,0.0 in,Mostly Cloudy,4,19.08
4/7/2021,11:51:00 AM,59 °F,38 °F,46 %,N,6 mph,0 mph,29.80 in,0.0 in,Mostly Cloudy,4,19.34
4/7/2021,12:51:00 PM,65 °F,40 °F,40 %,NNW,13 mph,0 mph,29.78 in,0.0 in,Mostly Cloudy,4,18.68
4/7/2021,1:51:00 PM,67 °F,39 °F,36 %,NNE,9 mph,0 mph,29.76 in,0.0 in,Mostly Cloudy,4,18.76
4/7/2021,2:51:00 PM,68 °F,39 °F,35 %,VAR,3 mph,20 mph,29.76 in,0.0 in,Partly Cloudy,4,18.75
4/7/2021,3:51:00 PM,70 °F,40 °F,33 %,ENE,8 mph,0 mph,29.75 in,0.0 in,Fair,4,18.68
4/7/2021,4:51:00 PM,70 °F,40 °F,33 %,NNW,7 mph,0 mph,29.75 in,0.0 in,Fair,4,19.36
4/7/2021,5:51:00 PM,70 °F,40 °F,33 %,N,9 mph,0 mph,29.77 in,0.0 in,Fair,4,25.19
4/7/2021,6:51:00 PM,69 °F,40 °F,35 %,NE,9 mph,0 mph,29.78 in,0.0 in,Partly Cloudy,4,32.44
4/7/2021,7:51:00 PM,62 °F,39 °F,43 %,S,15 mph,20 mph,29.80 in,0.0 in,Partly Cloudy,4,34.52
4/7/2021,8:51:00 PM,57 °F,38 °F,49 %,S,13 mph,0 mph,29.85 in,0.0 in,Fair,4,33.64
4/7/2021,9:51:00 PM,53 °F,38 °F,57 %,S,9 mph,0 mph,29.87 in,0.0 in,Fair,4,22.32
4/7/2021,10:51:00 PM,51 °F,38 °F,61 %,SSW,7 mph,0 mph,29.88 in,0.0 in,Fair,4,20.75
4/7/2021,11:51:00 PM,50 °F,38 °F,63 %,SW,3 mph,0 mph,29.89 in,0.0 in,Mostly Cloudy,4,20.3
4/8/2021,12:51:00 AM,47 °F,37 °F,68 %,CALM,0 mph,0 mph,29.89 in,0.0 in,Partly Cloudy,5,16.69
4/8/2021,1:51:00 AM,45 °F,37 °F,74 %,CALM,0 mph,0 mph,29.88 in,0.0 in,Mostly Cloudy,5,16.46
4/8/2021,2:51:00 AM,44 °F,37 °F,76 %,ENE,3 mph,0 mph,29.88 in,0.0 in,Partly Cloudy,5,15.36
4/8/2021,3:51:00 AM,40 °F,35 °F,83 %,NW,5 mph,0 mph,29.88 in,0.0 in,Fair,5,15.27
4/8/2021,4:51:00 AM,41 °F,35 °F,79 %,CALM,0 mph,0 mph,29.90 in,0.0 in,Partly Cloudy,5,17.14
4/8/2021,5:51:00 AM,43 °F,36 °F,76 %,CALM,0 mph,0 mph,29.91 in,0.0 in,Partly Cloudy,5,20.48
4/8/2021,6:51:00 AM,41 °F,36 °F,82 %,CALM,0 mph,0 mph,29.94 in,0.0 in,Partly Cloudy,5,26.72
4/8/2021,7:51:00 AM,48 °F,39 °F,71 %,CALM,0 mph,0 mph,29.94 in,0.0 in,Fair,5,29.73
4/8/2021,8:51:00 AM,55 °F,40 °F,57 %,CALM,0 mph,0 mph,29.94 in,0.0 in,Fair,5,31.09
4/8/2021,9:51:00 AM,59 °F,41 °F,51 %,NE,7 mph,0 mph,29.94 in,0.0 in,Fair,5,25.47
4/8/2021,10:51:00 AM,64 °F,41 °F,43 %,VAR,7 mph,0 mph,29.93 in,0.0 in,Fair,5,25.07
4/8/2021,11:51:00 AM,65 °F,42 °F,43 %,CALM,0 mph,0 mph,29.91 in,0.0 in,Fair,5,24.87
4/8/2021,12:51:00 PM,69 °F,41 °F,36 %,NE,8 mph,0 mph,29.89 in,0.0 in,Fair,5,21.8
4/8/2021,1:51:00 PM,70 °F,42 °F,36 %,VAR,3 mph,0 mph,29.86 in,0.0 in,Fair,5,20.88
4/8/2021,2:51:00 PM,72 °F,41 °F,33 %,VAR,3 mph,0 mph,29.84 in,0.0 in,Fair,5,20.93
4/8/2021,3:51:00 PM,72 °F,40 °F,31 %,CALM,0 mph,0 mph,29.84 in,0.0 in,Fair,5,21.11
4/8/2021,4:51:00 PM,74 °F,40 °F,29 %,,0 mph,0 mph,29.84 in,0.0 in,Partly Cloudy,5,21.28
4/8/2021,5:51:00 PM,72 °F,40 °F,31 %,CALM,0 mph,0 mph,29.84 in,0.0 in,Partly Cloudy,5,24.54
4/8/2021,6:51:00 PM,64 °F,43 °F,46 %,S,16 mph,0 mph,29.86 in,0.0 in,Fair,5,26.57
4/8/2021,7:51:00 PM,60 °F,44 °F,55 %,S,16 mph,0 mph,29.89 in,0.0 in,Fair,5,32.37
4/8/2021,8:51:00 PM,58 °F,43 °F,58 %,S,14 mph,0 mph,29.91 in,0.0 in,Fair,5,29.4
4/8/2021,9:51:00 PM,54 °F,43 °F,66 %,S,12 mph,0 mph,29.93 in,0.0 in,Fair,5,22.62
4/8/2021,10:51:00 PM,52 °F,43 °F,71 %,SSE,10 mph,0 mph,29.95 in,0.0 in,Fair,5,21.6
4/8/2021,11:51:00 PM,50 °F,42 °F,74 %,SSE,7 mph,0 mph,29.95 in,0.0 in,Fair,5,19.48
4/9/2021,12:51:00 AM,49 °F,42 °F,77 %,SW,5 mph,0 mph,29.96 in,0.0 in,Fair,6,19.71
4/9/2021,1:51:00 AM,48 °F,42 °F,80 %,S,6 mph,0 mph,29.97 in,0.0 in,Fair,6,16.92
4/9/2021,2:51:00 AM,47 °F,41 °F,80 %,SSE,3 mph,0 mph,29.96 in,0.0 in,Fair,6,16.84
4/9/2021,3:51:00 AM,45 °F,41 °F,86 %,SE,5 mph,0 mph,29.96 in,0.0 in,Fair,6,17.3
4/9/2021,4:51:00 AM,41 °F,38 °F,89 %,CALM,0 mph,0 mph,29.96 in,0.0 in,Fair,6,18.35
4/9/2021,5:51:00 AM,41 °F,38 °F,89 %,CALM,0 mph,0 mph,29.97 in,0.0 in,Fair,6,20.56
4/9/2021,6:51:00 AM,42 °F,38 °F,85 %,CALM,0 mph,0 mph,29.98 in,0.0 in,Shallow Fog,6,31.21
4/9/2021,7:51:00 AM,47 °F,42 °F,83 %,SSE,6 mph,0 mph,29.99 in,0.0 in,Fair,6,31.35
4/9/2021,8:51:00 AM,51 °F,43 °F,74 %,SSW,5 mph,0 mph,29.99 in,0.0 in,Fair,6,26.36
4/9/2021,9:51:00 AM,55 °F,44 °F,67 %,VAR,3 mph,0 mph,30.00 in,0.0 in,Fair,6,22.47
4/9/2021,10:51:00 AM,60 °F,44 °F,55 %,SSE,5 mph,0 mph,29.99 in,0.0 in,Fair,6,19.42
4/9/2021,11:51:00 AM,63 °F,43 °F,48 %,VAR,7 mph,0 mph,29.97 in,0.0 in,Fair,6,18.49
4/9/2021,12:51:00 PM,66 °F,43 °F,43 %,CALM,0 mph,0 mph,29.94 in,0.0 in,Mostly Cloudy,6,18.73
4/9/2021,1:51:00 PM,67 °F,41 °F,39 %,VAR,5 mph,0 mph,29.93 in,0.0 in,Mostly Cloudy,6,18.93
